Date of Draw,1st_D,2nd_D,3rd_D,4th_D,5th_D,6th_D,1st_Del,2nd_Del,3rd_Del,4th_Del,5th_Del,6th_Del
2011/6/30,7,20,35,37,57,70,9,14,17,20,27,31
2011/7/2,6,9,11,19,45,51,2,4,12,14,21,29
2011/7/5,2,6,7,51,57,71,5,9,19,22,24,34
2011/7/7,1,2,34,54,79,88,2,11,12,13,21,32
2011/7/9,11,22,42,49,58,89,1,2,4,7,17,29
2011/7/12,7,27,28,45,57,75,7,11,20,24,26,29
2011/7/14,21,35,51,68,81,90,0,5,14,21,21,30
2011/7/16,17,20,38,51,53,74,1,9,14,16,25,28
2011/7/19,35,43,56,58,71,90,5,10,13,19,26,27
2011/7/21,9,13,31,35,45,79,2,7,16,23,25,35
2011/7/23,36,42,63,77,81,86,2,4,9,9,21,35
2011/7/26,6,38,50,63,65,74,1,7,11,15,19,28
2011/7/28,21,23,25,65,67,78,2,5,7,8,13,33
2011/7/30,9,33,36,54,60,86,0,3,7,16,16,30
2011/8/2,1,5,32,49,69,72,12,16,21,21,25,31
2011/8/4,3,10,18,42,67,90,6,7,9,25,33,33
2011/8/6,18,21,58,65,89,90,9,9,11,11,22,23
2011/8/9,30,41,55,68,76,82,10,11,21,22,25,31
2011/8/11,8,17,51,60,63,79,2,5,5,8,17,19
2011/8/13,14,31,37,49,74,78,4,5,7,12,21,36
2011/8/16,2,6,27,29,38,55,6,12,17,17,20,28
2011/8/18,18,23,34,37,67,68,6,8,12,20,21,28
2011/8/20,18,26,29,78,79,80,3,14,21,23,24,28
2011/8/23,2,34,42,43,58,76,0,11,15,19,19,26
2011/8/25,18,38,39,45,57,90,6,6,24,28,30,34
2011/8/27,9,43,50,51,57,83,0,10,19,23,24,28
2011/8/30,12,23,32,35,52,55,13,13,16,22,31,40
2011/9/1,8,12,26,44,48,50,15,15,18,23,23,24
2011/9/3,3,5,9,41,58,62,1,3,14,16,21,27
2011/9/6,14,15,21,41,60,63,3,6,9,9,19,22
2011/9/8,20,45,61,67,80,88,0,4,7,9,11,20
2011/9/10,2,8,9,29,53,75,3,9,10,14,32,37
2011/9/13,61,64,74,75,80,87,2,5,6,9,16,24
2011/9/15,6,19,30,45,52,89,6,7,18,25,27,29
2011/9/17,13,45,70,72,81,84,5,13,14,24,25,29
2011/9/20,7,23,39,48,69,75,1,13,17,19,21,34
2011/9/22,4,6,27,37,45,58,3,11,13,13,16,20
2011/9/24,4,23,56,71,76,78,1,13,14,23,30,32
2011/9/27,18,28,35,52,57,75,7,14,18,19,20,31
2011/9/29,11,26,41,45,75,77,7,8,10,10,16,22
2011/10/1,3,5,13,54,58,85,2,3,7,26,27,29
2011/10/4,1,8,41,68,69,73,5,12,13,17,23,39
2011/10/6,5,8,11,47,56,63,7,8,19,23,26,36
2011/10/8,1,26,45,58,66,88,0,9,14,16,19,30
2011/10/11,23,36,41,43,83,90,7,11,20,23,33,40
2011/10/13,9,19,27,53,78,81,4,11,16,16,22,37
